job title,salary estimate,job description,rating,company name,location,size,founded,type of ownership,industry,sector,revenue,min_salary,max_salary,avg_salary,company_txt,job_state,age,python,R,spark,aws,cloud,excel
Data Scientist,$83K - $135K,"data scientist

language:",3.8,Buckman,"Memphis, TN",1001 to 5000 Employees,1945,Company - Private,Chemical Manufacturing,Manufacturing,$500 million to $1 billion (USD),83,135,109.0,Buckman,TN,75,0,0,0,0,0,0
Data Scientist,$125K - $154K,"are you passionate about using data, finding insights, and trying to explain why things are what they are? if so, read on.",4.2,TaylorMade Golf,"Carlsbad, CA",1001 to 5000 Employees,1979,Company - Private,Consumer Products Manufacturing,Manufacturing,$500 million to $1 billion (USD),125,154,139.5,TaylorMade Golf,CA,41,0,0,0,0,0,0
Data Scientist,$100K - $161K,"job briefthe ideal candidate will have previous data modeling experience. strong preference will be given to candidates with an actuarial background in the property and casualty insurance space.

ul,p {width:100%;}overview

ifg companies is in search of a data scientist to join its growing predictive modeling team.

the ideal candidate will have previous data modeling experience. strong preference will be given to candidates with an actuarial background in the property and casualty insurance space.

responsibilities



build predictive and/or machine learning models in sas



research new statistical and mathematical techniques that are suitable and helpful for solving business related problems



prepare data for modelling and make best/creative use of applicable and available internal or external data



identifying and integrating new datasets that can be leveraged for modeling efforts



support related processes around effectively deploying model to business



effectively communicate results in written, oral and presentation formats to technical and non-technical audiences




qualifications



bachelor’s degree in statistics, applied mathematics, or related discipline



3+ years of data modeling or similar experience.



experience with predictive modeling (classification, regression, parameter tuning, optimization criteria, feature selection), preferably with multiple techniques



experience in model validation techniques, model testing and continuous monitoring of model performance



experience in property & casualty insurance is strongly preferred.



demonstrated experience working with large relational data sets.



working knowledge in sas, r, python or another platform to develop and implement predictive models.



ability and willingness to quickly gain knowledge of sas enterprise guide and enterprise miner.



ability to communicate complex technical information in common language to foster teaching and analytics guidance to internal customers.



advanced experience in analytics, data cleaning, and predictive modeling.



ability to write queries in sql.



detail-oriented and ability to work collaboratively




physical demands



physical demands are considered to be that of an office environment, climate controlled, with minimal physical exertion. this position requires prolonged sitting, ability to utilize a computer and interactions with others in meetings or via phone.




benefits



we offer a competitive compensation and benefits package including medical, dental, vision, 401(k), flexible spending, short-term and long-term disability insurance, life insurance, long-term care, education assistance and paid time off.




ifg companies is an equal opportunity employer committed to a diverse workforce. m/f/d/v",2.7,IFG Companies,"Atlanta, GA",201 to 500 Employees,1985,Company - Private,Insurance Carriers,Insurance,Unknown / Non-Applicable,100,161,130.5,IFG Companies,GA,35,1,0,0,0,0,0
Data Analyst,$33K - $59K,divvydose is a new kind of home-delivery pharmacy in a hyper-growth phase focused on adherence packaging.,4.0,divvyDOSE,"Moline, IL",201 to 500 Employees,2015,Company - Private,Health Care Services & Hospitals,Health Care,Unknown / Non-Applicable,33,59,46.0,divvyDOSE,IL,5,0,0,0,0,0,0
Data Scientist,$72K - $121K,"as a data scientist, you will have the unique opportunity to work on a program developing target models and advancing state-of-the-art modeling and prediction capabilities. this program will develop and train machine learning models to detect and discern features in scenes and develop an adversarial patch framework to defeat the trained classifiers.",3.8,NT Concepts,"Chantilly, VA",51 to 200 Employees,1998,Company - Private,IT Services,Information Technology,$100 to $500 million (USD),72,121,96.5,NT Concepts,VA,22,0,0,0,0,0,0
Data Scientist/BI Developer,$65K - $106K,"“great real estate matters, but great people matter even more” (brx cultural tenet #1)",3.6,Brixmor Property Group,"Conshohocken, PA",201 to 500 Employees,-1,Company - Public,Real Estate,Real Estate,$5 to $10 billion (USD),65,106,85.5,Brixmor Property Group,PA,-1,0,0,0,0,0,0
Data Engineer I,$49K - $94K,general summary:,3.8,Elevate Credit,"Addison, TX",501 to 1000 Employees,2014,Company - Public,Lending,Finance,$100 to $500 million (USD),49,94,71.5,Elevate Credit,TX,6,0,0,0,0,0,0
Senior Engineer/Data Scientist - Industry 4.0,$89K - $141K,"friday, october 30, 2020

 


watlow profile: the world’s leading companies start with watlow for their thermal solutions. watlow®, a privately-owned company, is the industry leader in the design, manufacture and integration of complete thermal systems including electric heaters, temperature sensors, temperature controllers, power controllers and supporting software. at watlow, we are constantly driven to do more to help our customers. we take on big technical challenges. we are committed to projects that help our fellow human beings and we strive to learn more. from single components to high performance systems, we bring our thermal expertise to numerous applications, including semiconductor processing, energy processes, diesel, foodservice equipment, life sciences and others.

overview of role

the sr. engineer/data scientist will be responsible for applying expertise in data science and analytics to improve the customer’s thermal system performance, focused on integration into industry 4.0 technologies. the sr. engineer/data scientist will actively collaborate with customers and watlow’s internal subject matter experts while expanding watlow’s technical expertise in successful deployment of advanced alarming algorithms. the role will be located in st. louis, missouri at watlow’s global headquarters and advanced technology center.

key responsibilities:



	

 developing insights related to innovative new business initiatives


 collaboration with teams to support proper data collection


 meet with customers to determine what information is the most important to them


 develop analytical capabilities (e.g. models and processes) that drive better outcomes for both customers and the company


 mentor and coach more junior team members in developing data flow and analytic capabilities


 cleaning raw data and general pre-processing (generating features)


 developing solutions to visualize data and drive decisions to improve overall system performance


 build, test, and deploy predictive models and/or machine learning algorithms on large static and/or streaming data sets in iot enabled devices


 identify customer value creation opportunities as outputs of the data analysis


 learn & stay current on internet of things (iot) developments, news, opportunities, and challenges 




qualifications:

must have:



	

 bachelor’s degree in computer science, computer engineering or a relevant technical degree


 minimum experience of 5 years’ experience in related data science, analytics, and model building roles 



additional success factors:



	

 experiences in industry 4.0 transformation either as internal or customer facing


 experience in defining and implementing data acquisition for diagnostics/prognostics across all stages of the value chain


 natural curiosity and a strong passion for empirical research and problem solving


 strong written and verbal communications skills; comfortable communicating with senior levels of both business and technology leadership 



analytics experience:



	

 understanding of data collection and model building processes


 a strong understanding of data profiling and data cleansing techniques


 experience working with large complex data sets, real time/near real time analytics, and distributed big data platforms


 experience working with databases


 practical knowledge of analytical techniques and methodologies such as machine learning/supervised and unsupervised techniques, regression modeling, neural networks, data mining and optimization techniques


 experience with one or more of the following programming languages and their associated statistical analysis packages: python (scipy/sklearn), r, matlab (statistics toolbox), or sas 



connectivity/data flow experience:



	

 iot communication protocols knowledge


 familiarity with cloud based haas/paas solutions such as aws, ms azure.


 proficiency with querying sql server databases


 creation of efficient iot data system architectures and modeling of data flows to enable smart systems initiatives 






watlow is equal employment opportunity employer including protected veterans and

individuals with disabilities

other details




 

 pay type

 salary





apply now",3.5,Watlow Electric Manufacturing,"Saint Louis, MO",1001 to 5000 Employees,1922,Company - Private,Metal & Mineral Manufacturing,Manufacturing,$100 to $500 million (USD),89,141,115.0,Watlow Electric Manufacturing,MO,98,1,0,0,1,1,0
Data Scientist Supply Chain Optimization,$65K - $111K,"*please note -we ask all candidates to create an account in order to apply for a position with us. please click \""apply\"" then \""create account\"" to create a new account, or sign in if you are a returning applicant.",4.2,Andrews Distributing,"Allen, TX",1001 to 5000 Employees,-1,Company - Private,Wholesale,Business Services,$500 million to $1 billion (USD),65,111,88.0,Andrews Distributing,TX,-1,0,0,0,0,0,0
Data Scientist - Risk,$77K - $109K,job title: data scientist (risk),4.5,LSQ,"Orlando, FL",51 to 200 Employees,1996,Company - Private,Lending,Finance,Unknown / Non-Applicable,77,109,93.0,LSQ,FL,24,0,0,0,0,0,0
Data Scientist II,$74K - $121K,blucora has a bold aspiration: we are committed to giving all people the tools needed to lead healthy financial lives - tools often reserved for the wealthy.,3.4,Blucora,"Dallas, TX",501 to 1000 Employees,1996,Company - Public,Financial Transaction Processing,Finance,$500 million to $1 billion (USD),74,121,97.5,Blucora,TX,24,0,0,0,0,0,0
Scientist,$51K - $108K,empty,3.5,Laticrete International,"Grand Prairie, TX",201 to 500 Employees,-1,Company - Private,Chemical Manufacturing,Manufacturing,$100 to $500 million (USD),51,108,79.5,Laticrete International,TX,-1,0,0,0,0,0,0
"Senior Data Scientist , Advanced Analytics",$123K - $199K,"senior data scientist
raytheon missiles & defense (rmd)
digital technology, advanced analytics
andover, ma

are you a self-driven problem solver and continuous learner with a passion for data, applied statistics, machine learning, programming and visualization? if so, you might be interested in the opportunity to join rmd’s digital technology advanced analytics team as a data scientist.

rmd seeks an entrepreneurial analyst capable of working across functional areas with minimal supervision in order to support the application of data science / software engineering methods and techniques for production scale internal use and external research. the successful candidate will work with stakeholders and the advanced analytics team to develop analytic products for agile delivery. products will span manufacturing, engineering, business development, supply chain, and quality control functions.

at rmd, we work together as one global team creating trusted, innovative solutions to make the world a safer place. our innovation spans all domains: from land and sea to air, space and cyberspace. we’re inspired by a noble mission that’s shared by rmd employees around the globe and an inclusive culture that empowers employees and celebrates their contributions.

this role will be based in andover, ma. please note that limited capped budget relocation support will be provided to the selected applicant if they are eligible per company policy. the amount will be discussed at the appropriate stage of our process.

required skills:

demonstrated experience meeting with business stakeholders to identify and develop requirements for strategic use cases and research and development opportunities
specific use and application of python (numpy, scipy, pandas, scikit-image, and scikit-learn) to statistical and/or machine learning applications beyond academic examples
effectively communicate statistical/mathematical techniques to non-technical audiences and senior leadership
collaborate with data owners and technology teams to source data sets required for analyses
apply quantitative techniques (normalization, applied statistics) to cleanse and explore large, complex data sets in preparation for further analysis
apply data reduction, feature selection, and feature engineering techniques
develop and implement hypothesis tests
review, enhance, and quality assure operationalized algorithms and models
iterate on and/or create repeatable, reusable processes and scalable data products with the advanced analytics team
maintain contemporary expertise on new data science methods, technologies, industry trends and open source packages
eligibility to obtain a us govt. dept. of defense secret clearance as necessary for future projects that require it. except in rare cases, only us citizens are eligible to obtain us clearances.
desired skills:

proficiency with at least one deep learning framework such as pytorch, tensorflow, keras, theano or caffe
it is important that candidates demonstrate the ability to articulate application of said skills to business results rather than purely academic endeavors.
familiarity with cnn architectures such as resnet, inception, xception, nasnet, vgg, unet, stacked hourglass, mobilenet, pix2pix, and cyclegan
experience with data visualization applications such as tableau, microsoft powerbi, sap lumira, etc.
ability and eagerness to learn, educate and mentor others
experience in diverse domains (manufacturing operations, supply chain, finance, engineering, information technology, business development, quality control)
experience with commercial software development processes: good software hygiene regarding code documentation, unit testing, bug tracking and version control
familiarity deploying machine learning models in public cloud services such as aws, azure, or google cloud platform
track record of gpu programming, network optimization and deployment for data science applications
required education (including major):

bachelor’s or higher degree in statistics, econometrics, engineering, computer science, finance, mathematics or a quantitative degree in other social science or hard science fields

this position requires either a u.s. person or a non-u.s. person who is eligible to obtain any required export authorization and required us security clearance.

166749

raytheon technologies is an equal opportunity/affirmative action employer. all qualified applicants will receive consideration for employment without regard to race, age, color, religion, creed, sex, sexual orientation, gender identity, national origin, disability, or protected veteran status.",3.8,Raytheon Missiles & Defense,"Andover, MA",10000+ Employees,2020,Company - Public,Aerospace & Defense,Aerospace & Defense,$10+ billion (USD),123,199,161.0,Raytheon Missiles & Defense,MA,0,1,0,0,1,1,0
"Senior Data Analyst, Warehouse",$52K - $92K,we are seeking a,4.4,Helen of Troy,"Southaven, MS",1001 to 5000 Employees,1968,Company - Public,Consumer Products Manufacturing,Manufacturing,$1 to $2 billion (USD),52,92,72.0,Helen of Troy,MS,52,0,0,0,0,0,0
Data Scientist,$80K - $132K,job capsule,3.6,American Bureau of Shipping,"Houston, TX",1001 to 5000 Employees,1862,Other Organization,Architectural & Engineering Services,Business Services,$1 to $2 billion (USD),80,132,106.0,American Bureau of Shipping,TX,158,0,0,0,0,0,0
Data Scientist (Top Secret/SCI with Polygraph),$80K - $132K,empty,3.5,Buchanan & Edwards,"DC Ranch, AZ",201 to 500 Employees,1998,Company - Private,IT Services,Information Technology,$50 to $100 million (USD),80,132,106.0,Buchanan & Edwards,AZ,22,0,0,0,0,0,0
Data Scientist,$80K - $132K,"at varen, our performance is measured by the success of our clients, and our reputation for service, superior quality, objectivity, integrity and results. our reputation is everything to us as we are committed to being a trusted advisor to our nations decision makers in a day in age that demands acute attention to detail in a fast-paced environment. varen is seeking to add the sharpest technical professionals who share our passion for ensuring the mission success of our customers at all times.",4.2,Varen Technologies,"Reston, VA",51 to 200 Employees,2005,Company - Private,Enterprise Software & Network Solutions,Information Technology,$25 to $50 million (USD),80,132,106.0,Varen Technologies,VA,15,0,0,0,0,0,0
Data Analyst,$80K - $132K,empty,4.1,MMM Holdings,"Orlando, FL",1001 to 5000 Employees,-1,Company - Private,Insurance Carriers,Insurance,Less than $1 million (USD),80,132,106.0,MMM Holdings,FL,-1,0,0,0,0,0,0
Senior Scientist - Bispecific Antibodies,$80K - $132K,"at astrazeneca, we put patients first and strive to meet their unmet needs worldwide. working here means being entrepreneurial, thinking big and working together to make the impossible a reality. if you are swift to action, confident to lead, willing to collaborate, and curious about what science can do, then you’re our kind of person.
about astrazeneca in gaithersburg, md
our gaithersburg, maryland facility creates life-changing medicines for people around the world. this campus employs more than 3,500 experts in our field and is only a short drive from washington, dc. this modern and vibrant scientific campus is the home of r&d and oncology in the us. here, we play host to some of the most cutting-edge technology and lab spaces, all designed to inspire collaboration and cross-functional science. we believe employees benefit from being challenged and inspired at work. we are dedicated to creating a culture of inclusion and collaboration.
the gaithersburg site offers a variety of amenities to help boost productivity and help keep our employees happy and healthy. this includes a fitness center, employee healthcare clinic, electric vehicle charging stations, dry cleaning, full-service cafeteria and copy center. this is where you’ll find newly-designed, activity-based work spaces to suit a variety of working styles while increasing collaboration between teams.
summary of the group
antibody discovery & protein engineering (adpe) is responsible for the discovery and optimization of next generation biologics to create biological drug candidates for all key therapeutic areas such as oncology, respiratory and inflammation, cardiovascular, renal and metabolic diseases. we're constantly pushing the boundaries of science to deliver life-changing medicines to patients, with a passion for the development of in-house biologics discovery platforms and novel drug modalities to address unmet medical needs.
main duties & responsibilities
seeking a skilled and highly motivated scientist to enhance our bispecific antibody-based platform technology efforts. the successful candidate will be excited by research at the interface where innovative technology meets biology.
collaborate and work with a diverse group of scientists across all therapeutic areas to ensure timely progress in research projects and drive technological innovations
conceive, design, and execute the engineering of innovative bispecific antibodies with improved selectivity and developability
biochemical, biophysical and functional characterization of antibodies and bispecific modalities
prepare, analyze, and present data internally and externally
education & experience requirements
phd in biotechnology, molecular biology, biochemistry or other relevant scientific field with 5+ years of post-doctoral experience in antibody engineering and/or bispecific design.
required skills
extensive hands-on experience in molecular biology and antibody engineering, including; design, expression, purification and biochemical/biophysical characterization of various bispecific antibody formats
proven ability to work independently, effectively plan and organize work activities and prioritize task completion to meet project deadlines
deep understanding of various imaging/multicolor flow cytometry-based instruments and data analysis programs
comprehensive experience in tissue culture techniques and functional cell-based assay development
demonstrated experience in optimizing/troubleshooting protocols with a problem-solving mindset
track record of scientific innovation as evidenced by scientific publications, patents and oral presentations at conferences
desired skills
understanding of protein structure-function relationships and antibody structural remodeling
experience in engineering antibodies with improved properties (e.g., affinity, solubility, and other attributes related to developability)
background in antibody discovery using one of several display-based technologies
working knowledge of automation and high-throughput screening from bacterial or mammalian expression systems
experience in immunocytokine and t-cell engager
excellent written and verbal communication skills and effective presentation of complex scientific data to cross-functional and senior management
why astrazeneca
at astrazeneca when we see an opportunity for change, we seize it and make it happen, because any opportunity no matter how small, can be the start of something big. delivering life-changing medicines is about being entrepreneurial - finding those moments and recognising their potential. join us on our journey of building a new kind of organisation to reset expectations of what a bio-pharmaceutical company can be. this means we’re opening new ways to work, pioneering cutting edge methods and bringing unexpected teams together. interested? come and join our journey.
so, what’s next
are you ready to bring new ideas and fresh thinking to the table? brilliant! we have one seat available and we hope it’s yours.
where can i find out more?
check out our landing page for more information on our bpd group https://careers.astrazeneca.com/bpd
our social media, follow astrazeneca on linkedin https://www.linkedin.com/company/1603/
follow astrazeneca on facebook https://www.facebook.com/astrazenecacareers/
follow astrazeneca on instagram https://www.instagram.com/astrazeneca_careers/?hl=en",4.2,AstraZeneca,"Gaithersburg, MD",10000+ Employees,1913,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$10+ billion (USD),80,132,106.0,AstraZeneca,MD,107,0,0,0,0,0,0
Data Scientist,$80K - $132K,"the data scientist supports the development of statistical models that will enable future growth and profitability for our book of business through appropriate pricing, underwriting and risk segmentation. he/she will report to the manager of data science and will be involved in research, development and implementation of analytical solutions based on statistical models.",3.6,Plymouth Rock Assurance,"Woodbridge, NJ",1001 to 5000 Employees,1982,Company - Private,Insurance Carriers,Insurance,$10 to $25 million (USD),80,132,106.0,Plymouth Rock Assurance,NJ,38,0,0,0,0,0,0
"Associate Data Analyst, Direct-to-Consumer (DTC)",$80K - $132K,"job title: dtc data analyst

date: august 2020",2.5,KEEN Footwear,"Portland, OR",201 to 500 Employees,2003,Company - Private,Other Retail Stores,Retail,Unknown / Non-Applicable,80,132,106.0,KEEN Footwear,OR,17,0,0,0,0,0,0
