Job Title,Salary Estimate,Job Description,Rating,Company Name,Location,Size,Founded,Type of ownership,Industry,Sector,Revenue
Data Scientist,-1,About Us,3.8,Mindoula Health Inc,Maryland,51 to 200 Employees,2013,Company - Private,Health Care Services & Hospitals,Health Care,Unknown / Non-Applicable
Data Analyst,$59K - $73K,"Data Analyst
 

  Job DetailsJob Location Yakima - Yakima, WAPosition Type Full TimeEducation Level Bachelor's degreeSalary Range $58,900.00 - $73,600.00 Salary/yearJob Shift DayJob Category Information TechnologyDescription Who is Comprehensive Healthcare?

Comprehensive Healthcare provides innovative behavioral health and integrated healthcare services to clients of all ages. We take pride in our creative and collaborative work environment and in delivering clinically excellent, trauma-informed, recovery-oriented services.

What are we looking for in a Data Analyst?

As a member of the Information Services department, the Data Analyst supports Comprehensive’s technology and business initiatives by coordinating the collection, storage, and utilization of essential data. This position will work closely with leadership and other staff to determine data needs for specific projects or ad hoc requests, and then gather, interpret, and present the information to the team. The work of the Data Analyst will impact day-to-day clinic operations as well as business decisions, so a high degree of accuracy, thoroughness, and timeliness are essential. Previous experience performing data analytics in the healthcare field is required. The Data Analyst will work on-site in our Yakima office.

Data Analyst duties may include:



	integrating data from internal & external sources and performing extract, transform, and load operations to data in various applications

analyzing data to identify and interpret patterns or trends in data sets

performing data audits to identify problem areas & implementing strategies to optimize data integrity and process improvements

assisting with the design & implementation of database warehouse structure and developing standards for the design of data elements

supporting the implementation, testing, and validation of data & software systems

assisting with ongoing data architecture processes & governance

providing Tier II technical support to employees 

documenting all work as it is completed

Qualifications:



	Bachelor’s degree in computer science, data analytics, or related field

Three years of experience with data analysis within the healthcare industry

What Comprehensive Healthcare Can Offer You 

Training and Development



	A variety of career opportunities in a wide range of settings with room for mobility and promotion

Regular training opportunities including support, supervision, and consultation in implementing evidence-based services and programs

Innovative Program & Services



	A strong reputation for providing quality, evidence-based services within a collaborative multi-disciplinary team environment 

Innovative, forward-looking leadership that seeks to thrive in an ever-changing healthcare environment

Joint Commission-accredited organization committed to continuous quality improvement

Established partnerships with major research universities and other community and healthcare providers to implement cutting-edge treatment programs and services

Excellent Benefits



	Competitive salaries within our communities and industry

Healthcare coverage for employee and qualified family members

Generous vacation, paid holiday and sick leave policies

Access to Employee Assistance Program services

Agency-funded retirement plan with contributions equal to 5% of compensation

Additional retirement investment opportunities with a 50% investment match of up to 4% of compensation

Agency-funded life and disability insurance program 



Equal Opportunity Employer Comprehensive Healthcare is proud to be an equal opportunity employer. We do not discriminate based on race, sex, age, color, religion, national origin, sexual orientation, gender identity or expression, marital status, veteran status, disability status, or any other basis prohibited by federal, state, or local law. We value the diverse perspectives and strengths that our employees bring to the workplace and we encourage individuals from underrepresented groups to apply for our positions. The Human Resources department offers accommodations and assistance for the application and interview process; please contact us at (509) 575-4084 to make arrangements.",3.5,Comprehensive Healthcare,"Yakima, WA",501 to 1000 Employees,1971,Nonprofit Organization,Health Care Services & Hospitals,Health Care,Unknown / Non-Applicable
Spark/Big Data Engineer,$52K - $101K,"The Data Consumption team of Decision Sciences and Transformation (DSaT) is seeking a highly motivated Spark / Big Data Developer to start or continue an IT career on the Big Data Platform project. Teaming up with architects, scrum masters, leads, managers and directors, you will work in an Agile environment to make the data on the Big Data Platform accessible for the needs of the organization through Atomic Models and Analytical Data Stores. In this role, you will coordinate with a variety of IT departments to elicit and translate high level business requirements into detailed system requirements. You will participate in the entire software development lifecycle by writing and executing test plans, finding solutions to issues during development and after deployment. You should be intellectually curious, have a solutions-oriented attitude and enjoy learning new tools and techniques.
Basic Qualifications:
At least two years of experience with SQL and Java or Scala
Experience with manipulating and transforming data
Exposure to NoSQL databases, Spark and the Hadoop Ecosystem (MapReduce, Oozie, Hive, Pig)
Strong critical thinking, decision making, and problem-solving skills
Excellent verbal/written communication skills, including communicating technical issues to non-technical audiences
Bachelor’s degree in a computer related field or equivalent professional experience required
Preferred Qualifications:
Experience in designing efficient and robust ETL/ELT workflows, schedulers, and event-based triggers
Experience with Spark core and Spark SQL
Experience as a Big Data Developer
Exposure to Data Mining, Data Engineering and Data Modeling
Exposure to Graph Databases
Note: The safety of our associates, both current and future, is GEICO’s highest priority. At this time, most of our associates are working remotely due to the current COVID-19 pandemic. Candidates who are selected for this position will be trained remotely and must be able to work from home in a designated work area. Once GEICO determines it is safe for associates to return to the office, candidates may be required to work in our Chevy Chase, MD office.
Benefits:
As Spark/Big Data Developer, you’ll enjoy our Total Rewards Program* to help secure your financial future and preserve your health and well-being, including:Premier Medical, Dental and Vision Insurance with no waiting period**Paid Vacation, Sick and Parental Leave401(k) Plan with Profit SharingTuition ReimbursementPaid Training and LicensuresBenefits may be different by location. Benefit eligibility requirements vary and may include length of service.
**Coverage begins with the pay period after hire date. Must enroll in New Hire Benefits within 30 days of the date of hire for coverage to take effect.
The equal employment opportunity policy of the GEICO Companies provides for a fair and equal employment opportunity for all associates and job applicants regardless of race, color, religious creed, national origin, ancestry, age, gender, pregnancy, sexual orientation, gender identity, marital status, familial status, disability or genetic information, in compliance with applicable federal, state and local law. GEICO hires and promotes individuals solely on the basis of their qualifications for the job to be filled.
GEICO reasonably accommodates qualified individuals with disabilities to enable them to receive equal employment opportunity and/or perform the essential functions of the job, unless the accommodation would impose an undue hardship to the Company. This applies to all applicants and associates. GEICO also provides a work environment in which each associate is able to be productive and work to the best of their ability. We do not condone or tolerate an atmosphere of intimidation or harassment. We expect and require the cooperation of all associates in maintaining an atmosphere free from discrimination and harassment with mutual respect by and for all associates and applicants.
#LI-MW1",3.5,GEICO,"Chevy Chase, MD",10000+ Employees,1936,Subsidiary or Business Segment,Insurance Carriers,Insurance,$10+ billion (USD)
Data Scientist,$93K - $152K,"AIS has a workshare opportunity for a Data Scientist (TS/FSPOLY required) on a large, newly awarded contract. In this role you will develop machine learning, data mining, statistical and graph-based algorithms to analyze and make sense of datasets; prototype or consider several algorithms and decide upon final model based on suitable performance metrics.",4.4,"Assured Information Security, Inc. (AIS)","Fort Meade, MD",201 to 500 Employees,2001,Company - Private,Computer Hardware & Software,Information Technology,$100 to $500 million (USD)
Data Scientist,$83K - $135K,"Data Scientist

Language:",3.8,Buckman,"Memphis, TN",1001 to 5000 Employees,1945,Company - Private,Chemical Manufacturing,Manufacturing,$500 million to $1 billion (USD)
Senior Data Scientist,-1,About Fracta,-1,Fracta,"Redwood City, CA",-1,-1,-1,-1,-1,-1
Data Scientist,$125K - $154K,"Are you passionate about using data, finding insights, and trying to explain why things are what they are? If so, read on.",4.2,TaylorMade Golf,"Carlsbad, CA",1001 to 5000 Employees,1979,Company - Private,Consumer Products Manufacturing,Manufacturing,$500 million to $1 billion (USD)
Data Scientist,$100K - $161K,"Job BriefThe ideal candidate will have previous Data Modeling experience. Strong preference will be given to candidates with an actuarial background in the property and casualty insurance space.

ul,p {width:100%;}Overview

IFG Companies is in search of a Data Scientist to join its growing Predictive Modeling team.

The ideal candidate will have previous Data Modeling experience. Strong preference will be given to candidates with an actuarial background in the property and casualty insurance space.

Responsibilities



Build predictive and/or Machine Learning models in SAS



Research new statistical and mathematical techniques that are suitable and helpful for solving business related problems



Prepare data for modelling and make best/creative use of applicable and available internal or external data



Identifying and integrating new datasets that can be leveraged for modeling efforts



Support related processes around effectively deploying model to business



Effectively communicate results in written, oral and presentation formats to technical and non-technical audiences




Qualifications



Bachelor’s degree in statistics, applied mathematics, or related discipline



3+ years of Data Modeling or similar experience.



Experience with predictive modeling (classification, regression, parameter tuning, optimization criteria, feature selection), preferably with multiple techniques



Experience in model validation techniques, model testing and continuous monitoring of model performance



Experience in Property & Casualty Insurance is strongly preferred.



Demonstrated experience working with large relational data sets.



Working knowledge in SAS, R, Python or another platform to develop and implement predictive models.



Ability and willingness to quickly gain knowledge of SAS enterprise guide and enterprise miner.



Ability to communicate complex technical information in common language to foster teaching and analytics guidance to internal customers.



Advanced experience in analytics, data cleaning, and predictive modeling.



Ability to write queries in SQL.



Detail-oriented and ability to work collaboratively




Physical Demands



Physical demands are considered to be that of an office environment, climate controlled, with minimal physical exertion. This position requires prolonged sitting, ability to utilize a computer and interactions with others in meetings or via phone.




Benefits



We offer a competitive compensation and benefits package including medical, dental, vision, 401(k), flexible spending, short-term and long-term disability insurance, life insurance, long-term care, education assistance and paid time off.




IFG Companies is an equal opportunity employer committed to a diverse workforce. M/F/D/V",2.7,IFG Companies,"Atlanta, GA",201 to 500 Employees,1985,Company - Private,Insurance Carriers,Insurance,Unknown / Non-Applicable
Data Analyst,$33K - $59K,divvyDOSE is a new kind of home-delivery pharmacy in a hyper-growth phase focused on adherence packaging.,4.0,divvyDOSE,"Moline, IL",201 to 500 Employees,2015,Company - Private,Health Care Services & Hospitals,Health Care,Unknown / Non-Applicable
Data Scientist,$72K - $121K,"As a Data Scientist, you will have the unique opportunity to work on a program developing target models and advancing state-of-the-art modeling and prediction capabilities. This program will develop and train machine learning models to detect and discern features in scenes and develop an adversarial patch framework to defeat the trained classifiers.",3.8,NT Concepts,"Chantilly, VA",51 to 200 Employees,1998,Company - Private,IT Services,Information Technology,$100 to $500 million (USD)
Data Scientist/BI Developer,$65K - $106K,"“Great real estate matters, but great people matter even more” (BRX Cultural Tenet #1)",3.6,Brixmor Property Group,"Conshohocken, PA",201 to 500 Employees,-1,Company - Public,Real Estate,Real Estate,$5 to $10 billion (USD)
Data Engineer I,$49K - $94K,General Summary:,3.8,Elevate Credit,"Addison, TX",501 to 1000 Employees,2014,Company - Public,Lending,Finance,$100 to $500 million (USD)
Senior Engineer/Data Scientist - Industry 4.0,$89K - $141K,"Friday, October 30, 2020

 


Watlow Profile: The world’s leading companies start with Watlow for their thermal solutions. Watlow®, a privately-owned company, is the industry leader in the design, manufacture and integration of complete thermal systems including electric heaters, temperature sensors, temperature controllers, power controllers and supporting software. At Watlow, we are constantly driven to do more to help our customers. We take on big technical challenges. We are committed to projects that help our fellow human beings and we strive to learn more. From single components to high performance systems, we bring our thermal expertise to numerous applications, including semiconductor processing, energy processes, diesel, foodservice equipment, life sciences and others.

Overview of Role

The Sr. Engineer/Data Scientist will be responsible for applying expertise in data science and analytics to improve the customer’s thermal system performance, focused on integration into Industry 4.0 technologies. The Sr. Engineer/Data Scientist will actively collaborate with customers and Watlow’s internal subject matter experts while expanding Watlow’s technical expertise in successful deployment of advanced alarming algorithms. The role will be located in St. Louis, Missouri at Watlow’s Global headquarters and Advanced Technology Center.

Key Responsibilities:



	

 Developing insights related to innovative new business initiatives


 Collaboration with teams to support proper data collection


 Meet with customers to determine what information is the most important to them


 Develop analytical capabilities (e.g. models and processes) that drive better outcomes for both customers and the company


 Mentor and coach more junior team members in developing data flow and analytic capabilities


 Cleaning raw data and general pre-processing (generating features)


 Developing solutions to visualize data and drive decisions to improve overall system performance


 Build, test, and deploy predictive models and/or machine learning algorithms on large static and/or streaming data sets in IoT enabled devices


 Identify customer value creation opportunities as outputs of the data analysis


 Learn & stay current on Internet of Things (IOT) developments, news, opportunities, and challenges 




Qualifications:

Must have:



	

 Bachelor’s degree in computer science, computer engineering or a relevant technical degree


 Minimum experience of 5 years’ experience in related data science, analytics, and model building roles 



Additional success factors:



	

 Experiences in Industry 4.0 transformation either as internal or customer facing


 Experience in defining and implementing data acquisition for diagnostics/prognostics across all stages of the value chain


 Natural curiosity and a strong passion for empirical research and problem solving


 Strong written and verbal communications skills; comfortable communicating with senior levels of both business and technology leadership 



Analytics Experience:



	

 Understanding of data collection and model building processes


 A strong understanding of data profiling and data cleansing techniques


 Experience working with large complex data sets, real time/near real time analytics, and distributed big data platforms


 Experience working with databases


 Practical knowledge of analytical techniques and methodologies such as machine learning/supervised and unsupervised techniques, regression modeling, neural networks, data mining and optimization techniques


 Experience with one or more of the following programming languages and their associated statistical analysis packages: Python (SciPy/sklearn), R, MatLab (statistics toolbox), or SAS 



Connectivity/Data Flow Experience:



	

 IOT Communication protocols knowledge


 Familiarity with Cloud based HaaS/PaaS solutions such as AWS, MS Azure.


 Proficiency with querying SQL Server databases


 Creation of efficient IoT data system architectures and modeling of data flows to enable smart systems initiatives 






Watlow is Equal Employment Opportunity Employer including Protected Veterans and

Individuals with Disabilities

Other details




 

 Pay Type

 Salary





Apply Now",3.5,Watlow Electric Manufacturing,"Saint Louis, MO",1001 to 5000 Employees,1922,Company - Private,Metal & Mineral Manufacturing,Manufacturing,$100 to $500 million (USD)
Data Scientist Supply Chain Optimization,$65K - $111K,"*Please note -we ask all candidates to create an account in order to apply for a position with us. Please click \""Apply\"" then \""Create Account\"" to create a new account, or sign in if you are a returning applicant.",4.2,Andrews Distributing,"Allen, TX",1001 to 5000 Employees,-1,Company - Private,Wholesale,Business Services,$500 million to $1 billion (USD)
Data Scientist - Risk,$77K - $109K,Job Title: Data Scientist (Risk),4.5,LSQ,"Orlando, FL",51 to 200 Employees,1996,Company - Private,Lending,Finance,Unknown / Non-Applicable
Intern - Data Analyst,-1,"We start the new chapter of Episerver as we proudly join forces with Optimizely to create a new wave of digital leaders through transforming digital experience creation and optimization. Episerver is consistently ranked as a market leader in digital experience creation, supporting the digital journeys of 9,000+ global brands, while Optimizely is the world’s leader in experience optimization. Combined, these two powerhouses create the most advanced digital experience platform in the industry. The combination of creation and optimization will enable companies across all segments and industries to take advantage of what content, commerce, personalization and experimentation can bring to their business and to their customers.",4.4,Episerver,United States,501 to 1000 Employees,1994,Company - Private,Computer Hardware & Software,Information Technology,Unknown / Non-Applicable
Data Scientist II,$74K - $121K,Blucora has a bold aspiration: we are committed to giving all people the tools needed to lead healthy financial lives - tools often reserved for the wealthy.,3.4,Blucora,"Dallas, TX",501 to 1000 Employees,1996,Company - Public,Financial Transaction Processing,Finance,$500 million to $1 billion (USD)
Scientist,$51K - $108K,,3.5,Laticrete International,"Grand Prairie, TX",201 to 500 Employees,-1,Company - Private,Chemical Manufacturing,Manufacturing,$100 to $500 million (USD)
"Senior Data Scientist , Advanced Analytics",$123K - $199K,"Senior Data Scientist
Raytheon Missiles & Defense (RMD)
Digital Technology, Advanced Analytics
Andover, MA

Are you a self-driven problem solver and continuous learner with a passion for data, applied statistics, machine learning, programming and visualization? If so, you might be interested in the opportunity to join RMD’s Digital Technology Advanced Analytics team as a Data Scientist.

RMD seeks an entrepreneurial analyst capable of working across functional areas with minimal supervision in order to support the application of data science / software engineering methods and techniques for production scale internal use and external research. The successful candidate will work with stakeholders and the Advanced Analytics team to develop analytic products for agile delivery. Products will span manufacturing, engineering, business development, supply chain, and quality control functions.

At RMD, we work together as one global team creating trusted, innovative solutions to make the world a safer place. Our innovation spans all domains: from land and sea to air, space and cyberspace. We’re inspired by a noble mission that’s shared by RMD employees around the globe and an inclusive culture that empowers employees and celebrates their contributions.

This role will be based in Andover, MA. Please note that limited capped budget relocation support will be provided to the selected applicant if they are eligible per company policy. The amount will be discussed at the appropriate stage of our process.

Required Skills:

Demonstrated experience meeting with business stakeholders to identify and develop requirements for strategic use cases and research and development opportunities
Specific use and application of Python (numpy, scipy, pandas, scikit-image, and scikit-learn) to statistical and/or machine learning applications beyond academic examples
Effectively communicate statistical/mathematical techniques to non-technical audiences and senior leadership
Collaborate with data owners and technology teams to source data sets required for analyses
Apply quantitative techniques (normalization, applied statistics) to cleanse and explore large, complex data sets in preparation for further analysis
Apply data reduction, feature selection, and feature engineering techniques
Develop and implement hypothesis tests
Review, enhance, and quality assure operationalized algorithms and models
Iterate on and/or create repeatable, reusable processes and scalable data products with the advanced analytics team
Maintain contemporary expertise on new data science methods, technologies, industry trends and open source packages
Eligibility to obtain a US Govt. Dept. of Defense Secret Clearance as necessary for future projects that require it. Except in rare cases, only US Citizens are eligible to obtain US Clearances.
Desired Skills:

Proficiency with at least one deep learning framework such as PyTorch, TensorFlow, Keras, Theano or Caffe
It is important that candidates demonstrate the ability to articulate application of said skills to business results rather than purely academic endeavors.
Familiarity with CNN architectures such as ResNet, Inception, XCeption, NASNet, VGG, UNet, Stacked Hourglass, MobileNet, pix2pix, and CycleGAN
Experience with data visualization applications such as Tableau, Microsoft PowerBI, SAP Lumira, etc.
Ability and eagerness to learn, educate and mentor others
Experience in diverse domains (manufacturing operations, supply chain, finance, engineering, information technology, business development, quality control)
Experience with commercial software development processes: good software hygiene regarding code documentation, unit testing, bug tracking and version control
Familiarity deploying machine learning models in public cloud services such as AWS, Azure, or Google Cloud Platform
Track record of GPU programming, network optimization and deployment for data science applications
Required Education (including Major):

Bachelor’s or higher degree in Statistics, Econometrics, Engineering, Computer Science, Finance, Mathematics or a quantitative degree in other social science or hard science fields

This position requires either a U.S. Person or a Non-U.S. Person who is eligible to obtain any required Export Authorization and required US Security Clearance.

166749

Raytheon Technologies is an Equal Opportunity/Affirmative Action employer. All qualified applicants will receive consideration for employment without regard to race, age, color, religion, creed, sex, sexual orientation, gender identity, national origin, disability, or protected Veteran status.",3.8,Raytheon Missiles & Defense,"Andover, MA",10000+ Employees,2020,Company - Public,Aerospace & Defense,Aerospace & Defense,$10+ billion (USD)
"Senior Data Analyst, Warehouse",$52K - $92K,We are seeking a,4.4,Helen of Troy,"Southaven, MS",1001 to 5000 Employees,1968,Company - Public,Consumer Products Manufacturing,Manufacturing,$1 to $2 billion (USD)
Data Scientist,$80K - $132K,Job Capsule,3.6,American Bureau of Shipping,"Houston, TX",1001 to 5000 Employees,1862,Other Organization,Architectural & Engineering Services,Business Services,$1 to $2 billion (USD)
Data Scientist (Top Secret/SCI with Polygraph),$80K - $132K,,3.5,Buchanan & Edwards,"DC Ranch, AZ",201 to 500 Employees,1998,Company - Private,IT Services,Information Technology,$50 to $100 million (USD)
Data Scientist,$80K - $132K,"At Varen, our performance is measured by the success of our clients, and our reputation for service, superior quality, objectivity, integrity and results. Our reputation is everything to us as we are committed to being a trusted advisor to our nations decision makers in a day in age that demands acute attention to detail in a fast-paced environment. Varen is seeking to add the sharpest technical professionals who share our passion for ensuring the mission success of our customers at all times.",4.2,Varen Technologies,"Reston, VA",51 to 200 Employees,2005,Company - Private,Enterprise Software & Network Solutions,Information Technology,$25 to $50 million (USD)
Data Analyst,$80K - $132K,,4.1,MMM Holdings,"Orlando, FL",1001 to 5000 Employees,-1,Company - Private,Insurance Carriers,Insurance,Less than $1 million (USD)
